Date,Average Air Temperature(deg C),Average Relative Humidity(%)
19-Oct-2017,25.1,24.6
20-Oct-2017,25.5,31.8
21-Oct-2017,26.8,30.5
22-Oct-2017,26.5,30.0
23-Oct-2017,24.2,50.0
24-Oct-2017,25.6,41.4
25-Oct-2017,25.9,33.6
26-Oct-2017,26.1,33.1
27-Oct-2017,24.1,52.2
28-Oct-2017,22.5,65.1
29-Oct-2017,21.8,70.8
30-Oct-2017,22.1,71.7
31-Oct-2017,22.0,75.8
01-Nov-2017,20.3,80.6
02-Nov-2017,20.9,81.5
03-Nov-2017,22.3,72.0
04-Nov-2017,23.1,68.3
05-Nov-2017,21.2,79.5
06-Nov-2017,22.6,69.8
07-Nov-2017,22.2,76.4
08-Nov-2017,19.5,87.3
09-Nov-2017,19.5,86.9
10-Nov-2017,19.8,89.1
11-Nov-2017,19.9,86.9
12-Nov-2017,20.6,81.1
13-Nov-2017,22.8,66.4
14-Nov-2017,23.7,45.8
15-Nov-2017,22.4,63.4
16-Nov-2017,23.0,59.9
17-Nov-2017,20.6,76.8
18-Nov-2017,20.7,78.5
19-Nov-2017,21.2,76.1
20-Nov-2017,22.6,71.4
21-Nov-2017,21.8,75.6
22-Nov-2017,22.3,68.1
23-Nov-2017,23.1,67.2
24-Nov-2017,21.7,76.0
25-Nov-2017,22.7,72.5
26-Nov-2017,20.4,83.5
27-Nov-2017,21.1,77.8
28-Nov-2017,22.3,73.1
29-Nov-2017,21.4,80.1
30-Nov-2017,19.4,86.5
01-Dec-2017,19.5,82.7
02-Dec-2017,19.6,86.2
03-Dec-2017,21.0,78.9
04-Dec-2017,23.2,69.1
05-Dec-2017,21.9,80.1
06-Dec-2017,21.9,77.5
07-Dec-2017,21.6,79.6
08-Dec-2017,21.9,78.8
09-Dec-2017,21.6,81.0
10-Dec-2017,20.1,89.8
11-Dec-2017,19.9,86.5
12-Dec-2017,19.5,86.2
13-Dec-2017,20.2,84.9
14-Dec-2017,19.5,90.1
15-Dec-2017,19.3,88.2
16-Dec-2017,19.0,88.1
17-Dec-2017,19.9,77.9
18-Dec-2017,20.8,77.3
19-Dec-2017,22.3,70.9
20-Dec-2017,23.8,59.4
21-Dec-2017,23.8,58.8
22-Dec-2017,22.3,69.9
23-Dec-2017,21.2,72.8
24-Dec-2017,21.3,76.0
25-Dec-2017,21.7,75.6
26-Dec-2017,22.7,74.4
27-Dec-2017,24.4,66.6
28-Dec-2017,24.5,53.2
29-Dec-2017,23.2,67.6
30-Dec-2017,20.9,83.0
31-Dec-2017,22.2,74.5
